"Status","Updated_At","Location","what_participant_group","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Applied_Research_current","changed_10yrs","percent_Fundamental_Research_past","percent_Use_inspired_Research_past","percent_Applied_Research_past","Main_reason_change_interest_related","Main_reason_change_Career_related","Main_reason_change_Funding_related","Main_reason_change_Socially_related","Main_reason_change_Other","Main_reason_change_Other_text","view_change_of_type","partnership_outside","partnership_change_10yrs","partnership_outside_before","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_11_15_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","external_pi_grant_6_10_applied","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_internal","distriution_funding_11_15_government","distriution_funding_11_15_for_profit","distriution_funding_11_15_nongov","distriution_funding_11_15_other","distriution_funding_11_15_other_text","distriution_funding_6_10_internal","distriution_funding_6_10_government","distriution_funding_6_10_for_profit","distriution_funding_6_10_nongov","distriution_funding_6_10_other","distriution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","high_priority_comments","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","next_generation_Comments","field_research","PhD_Year","Country_work","gender","Country"
"Incomplete","5/30/16 9:46","Italy","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 10:33","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","90%","10%","0%","Yes","90%","10%","",NA,NA,1,NA,NA,"","Slightly negative","No partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Neutral","3-Jan","3-Jan","3-Jan","3-Jan","3-Jan","0","0%","0%","0%","0%","0%","0%","Mandatory","Very important","Mandatory","Somewhat important","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Cyprus"
"Incomplete","5/30/16 10:05","Italy","Senior academic researcher with >10 years of experience applying for research grants","50%","50%","50%","Yes","60%","60%","60%",1,1,NA,NA,NA,"","Slightly positive","Strong partnership","Yes","Strong partnership",NA,NA,1,NA,NA,"","Neutral","9-Jul","6-Apr","6-Apr","3-Jan","3-Jan","3-Jan","10%","20%","10%","10%","10%","10%","Quite important","Quite important","Quite important","Quite important","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 10:13","France","Senior academic researcher with >10 years of experience applying for research grants","100%","","","No","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","France"
"Incomplete","5/30/16 10:17","United Kingdom","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","United Kingdom"
"Incomplete","5/30/16 10:22","Greece","Senior academic researcher with >10 years of experience applying for research grants","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Greece"
"Incomplete","5/30/16 10:29","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/30/16 10:48","Italy","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 10:53","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","United Kingdom"
"Incomplete","5/30/16 11:08","Italy","Senior academic researcher with >10 years of experience applying for research grants","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 11:09","Switzerland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Switzerland"
"Incomplete","5/30/16 11:09","Italy","Senior academic researcher with >10 years of experience applying for research grants","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 11:17","Germany","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Germany"
"Incomplete","5/30/16 11:19","Italy","Senior academic researcher with >10 years of experience applying for research grants","60%","30%","10%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 11:23","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","90%","10%","0%","Yes","100%","0%","0%",NA,NA,1,NA,NA,"","Slightly negative","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","0","0","0","100%","0%","0%","0%","0%","0%","Very important","Can't comment","Quite important","Can't comment","50%","50%","0%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 11:27","Italy","Senior academic researcher with >10 years of experience applying for research grants","30%","40%","30%","Yes","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 12:24","Italy","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","20%","80%","","Yes","50%","50%","",NA,NA,1,NA,NA,"","Slightly negative","Some partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Slightly negative","0","3-Jan","","0","3-Jan","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 12:34","Italy","Senior academic researcher with >10 years of experience applying for research grants","10%","50%","40%","Yes","20%","40%","40%",1,NA,1,NA,NA,"","Neutral","Some partnership","No","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 12:53","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 13:25","","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","",""
"Incomplete","5/30/16 13:32","Germany","Senior academic researcher with >10 years of experience applying for research grants","50%","40%","10%","Yes","70%","30%","0%",NA,NA,1,NA,1,"Institutional offers/demands, networking/cooperation dynamics","Slightly negative","Some partnership","Yes","No partnership",NA,1,NA,1,1,"Institutional demands/offers, cooperation and networking dynamics","Slightly negative","6-Apr","3-Jan","0","6-Apr","3-Jan","3-Jan","30%","30%","100%","10%","10%","100%","Somewhat important","Quite important","Somewhat important","Somewhat important","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Germany"
"Incomplete","5/30/16 14:13","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","100%","0%","0%","Yes","50%","0%","50%",1,1,1,NA,NA,"","Neutral","No partnership","Yes","Strong partnership",1,NA,NA,1,NA,"","Very negative","0","0","0","0","0","0","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Not at all important","Can't comment","Somewhat important","Somewhat important","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Belgium"
"Incomplete","5/30/16 14:19","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","90%","10%","0%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","3-Jan","0","0","0","0","20%","0%","0%","0%","0%","0%","Very important","Very important","Not very important","Can't comment","10%","90%","0%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Can't comment","Can't comment","",NA,NA,NA,NA,"","","","","","","","","","","Israel"
"Incomplete","5/30/16 14:27","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","60%","40%","","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","9-Jul","6-Apr","","3-Jan","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","France"
"Incomplete","5/30/16 15:01","Romania","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","20%","40%","40%","Yes","20%","0%","80%",1,1,1,NA,NA,"","Slightly positive","No partnership","No","",NA,NA,NA,NA,NA,"","","0","3-Jan","3-Jan","0","0","3-Jan","0%","100%","50%","0%","0%","50%","Quite important","Not at all important","Can't comment","Can't comment","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Romania"
"Incomplete","5/30/16 15:12","Greece","Senior academic researcher with >10 years of experience applying for research grants","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Greece"
"Incomplete","5/30/16 15:41","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","50%","50%","0%","Yes","100%","0%","0%",NA,NA,1,NA,NA,"","Slightly negative","Some partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","3-Jan","3-Jan","3-Jan","0","0","0%","50%","0%","80%","0%","0%","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 16:51","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","60%","20%","20%","No","","","",NA,NA,NA,NA,NA,"","","Strong partnership","Yes","Some partnership",1,1,NA,1,NA,"","Slightly positive","6-Apr","6-Apr","6-Apr","6-Apr","6-Apr","6-Apr","80%","40%","30%","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/30/16 16:53","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","100%","No","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 17:18","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","United Kingdom"
"Incomplete","5/30/16 17:24","Belgium","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Belgium"
