"Location","Country","Country_work","gender","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation"
"","","Canada","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease slightly"
"Alberta","Canada","Canada","Male","Very important",NA,NA,NA,1,"Will stay the same","Can't comment","Will stay the same","Will decrease slightly"
"Ontario","Canada","Canada","Male","Very important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will increase slightly"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will decrease considerably","Will increase considerably","Will decrease considerably"
"Ontario","Canada","","Male","Very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease considerably"
"Quebec","Canada","Canada","Female","Not very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will decrease slightly"
"British Columbia","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease considerably"
"Alberta","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Can't comment","Will stay the same","Will increase slightly"
"Quebec","Canada","Canada","","Somewhat important",1,1,NA,NA,"Will stay the same","Will decrease considerably","Will decrease considerably","Will decrease considerably"
"Ontario","Canada","Canada","Female","Can't comment",NA,1,NA,NA,"Can't comment","Will decrease slightly","Can't comment","Will decrease slightly"
"Saskatchewan","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will increase slightly","Will decrease considerably"
"Chile","Chile","Chile","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"New Brunswick","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase considerably"
"Ontario","Canada","Canada","Male","Somewhat important",1,NA,NA,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"Quebec","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will increase slightly","Will stay the same"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Can't comment","Will stay the same","Will increase slightly"
"Ontario","Canada","Canada","","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same"
"Ontario","Canada","Canada","Male","Very important",NA,1,NA,NA,"Will increase slightly","Will increase slightly","Can't comment",""
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will increase slightly","Will decrease considerably"
"Quebec","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will decrease slightly"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Can't comment","Can't comment","Will decrease slightly"
"Alberta","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"","","Canada","Male","Very important",NA,NA,1,NA,"Will increase considerably","Will decrease slightly","Will decrease slightly","Will increase slightly"
"Australia","Australia","Australia","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will stay the same"
"Ontario","Canada","Canada","Male","Can't comment",NA,NA,1,NA,"Will increase slightly","Can't comment","Will stay the same","Can't comment"
"Quebec","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease slightly"
"Austria","Austria","Canada","Male","Very important",NA,1,NA,NA,"Will increase slightly","Will increase slightly","Will increase considerably","Will decrease slightly"
"France","France","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Can't comment"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly"
"New York","USA","Israel","","Not very important",NA,NA,NA,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"Israel","Israel","Israel","Female","Not at all important",NA,NA,NA,1,"","","","Will decrease slightly"
"Israel","Israel","Israel","Female","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will increase considerably","Will decrease considerably"
"Israel","Israel","Israel","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Can't comment","Will increase slightly","Will decrease considerably"
"Israel","Israel","Israel","Male","Somewhat important",NA,1,NA,NA,"Will stay the same","Will stay the same","Will increase slightly","Will increase considerably"
"Israel","Israel","Israel","Male","Very important",1,1,NA,NA,"Will stay the same","Will stay the same","Will stay the same","Will stay the same"
"Israel","Israel","Antarctica","Other","Very important",1,NA,NA,NA,"Will increase considerably","","","Will increase considerably"
"","","Israel","Male","Very important",NA,NA,NA,1,"Can't comment","Can't comment","Can't comment","Can't comment"
"Israel","Israel","Israel","Female","Somewhat important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Will increase considerably"
"Israel","Israel","Israel","Male","Not very important",1,NA,NA,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably"
"Israel","Israel","Israel","Male","Somewhat important",NA,NA,NA,1,"Will stay the same","Will stay the same","Will stay the same","Will decrease slightly"
"Israel","Israel","Israel","Male","Can't comment",NA,NA,NA,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"Israel","Israel","Israel","Male","Somewhat important",NA,NA,NA,1,"Will stay the same","","","Will stay the same"
"Israel","Israel","Israel","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase considerably","Will decrease slightly"
"Israel","Israel","Israel","Female","Very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease slightly"
"Israel","Israel","Israel","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will increase slightly"
"Israel","Israel","Israel","Female","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will stay the same"
"New York","USA","Israel","Male","Not very important",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Will decrease slightly"
"","","Canada","Male","Very important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase slightly"
"Israel","Israel","Israel","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"Ontario","Canada","Canada","Female","Not very important",NA,NA,1,NA,"Will increase slightly","Can't comment","Can't comment","Will increase slightly"
"Switzerland","Switzerland","Israel","Male","Very important",NA,1,NA,NA,"Will stay the same","","","Will stay the same"
"Israel","Israel","Israel","Male","Can't comment",NA,NA,NA,1,"Can't comment","Can't comment","Can't comment","Will decrease considerably"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will increase considerably","Will increase considerably","Will decrease considerably"
"British Columbia","Canada","Canada","Female","Not very important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Female","Very important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will increase slightly"
"","","Israel","Female","Somewhat important",NA,NA,1,NA,"Will stay the same","Will increase considerably","Will increase considerably","Will decrease slightly"
"Quebec","Canada","Canada","Male","Very important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will stay the same"
"Nova Scotia","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Can't comment","Will increase slightly","Will increase slightly"
"Texas","USA","United States","Male","Very important",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will increase slightly","Will decrease considerably"
"Israel","Israel","Israel","Male","Very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same",""
"","","United States","Female","Very important",1,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease slightly"
"Manitoba","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will decrease slightly"
"Israel","Israel","Israel","Female","Very important",1,1,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"Israel","Israel","Israel","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will increase considerably","Can't comment"
"Israel","Israel","Israel","Male","Somewhat important",NA,NA,NA,NA,"Can't comment","Can't comment","Will stay the same","Can't comment"
"","","Canada","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will increase slightly","Will decrease slightly"
"Nova Scotia","Canada","Canada","Female","Somewhat important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will increase slightly"
"Israel","Israel","Israel","Male","Somewhat important",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Will increase considerably"
"Ontario","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will increase slightly","","Will increase slightly","Will decrease considerably"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will stay the same","Will stay the same","Will increase slightly","Will decrease slightly"
"Nova Scotia","Canada","Canada","Male","Not at all important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Can't comment","Will decrease considerably"
"Quebec","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will increase slightly","Will increase considerably"
"Nova Scotia","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will stay the same"
"Alberta","Canada","Canada","Male","Very important",NA,1,1,NA,"Will increase slightly","Can't comment","Can't comment","Will decrease slightly"
