"Location","Country","Country_work","gender","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation"
"Singapore","Singapore","Singapore","Male","Not very important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will decrease slightly"
"Italy","Italy","Germany","Female","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will increase considerably","Will decrease slightly"
"Italy","Italy","Italy","Male","Not at all important",NA,NA,NA,1,"Will decrease slightly","Can't comment","Can't comment","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will increase considerably","Will decrease considerably"
"New Zealand","New Zealand","New Zealand","Male","Can't comment",NA,NA,NA,NA,"Can't comment","Can't comment","Can't comment","Will stay the same"
"Israel","Israel","Israel","Female","Very important",NA,NA,NA,1,"Will stay the same","Will stay the same","Will stay the same","Will stay the same"
"United Kingdom","United Kingdom","United Kingdom","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease considerably"
"Korea","Korea","Korea, South","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will decrease considerably","Will stay the same","Will increase slightly"
"United Kingdom","United Kingdom","United Kingdom","Female","Not very important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease considerably"
"France","France","France","Male","Somewhat important",NA,NA,NA,1,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly"
"Poland","Poland","Poland","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will increase slightly","Will decrease slightly"
"Poland","Poland","Poland","Female","Not very important",NA,1,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably"
"Poland","Poland","Poland","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will increase slightly"
"Oregon","USA","United States","Female","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will stay the same","Will decrease slightly"
"Australia","Australia","Australia","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will stay the same"
"Israel","Israel","United States","Male","Very important",NA,NA,NA,NA,"Can't comment","Can't comment","Can't comment","Will increase considerably"
"Netherlands","Netherlands","Netherlands","Female","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Australia","Australia","Australia","Female","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will increase slightly","Will decrease considerably"
"Poland","Poland","Poland","Male","Not at all important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease considerably"
"Poland","Poland","Poland","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will stay the same","Will decrease slightly"
"Serbia","Serbia","","Female","Very important",NA,NA,NA,1,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"Poland","Poland","Poland","Female","Very important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will increase slightly"
"Poland","Poland","Poland","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease slightly"
"Poland","Poland","Poland","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will stay the same"
"Poland","Poland","Poland","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will increase considerably","Will increase slightly"
"Belgium","Belgium","Poland","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase slightly"
"Poland","Poland","Poland","Female","Somewhat important",NA,NA,1,NA,"","Will stay the same","Will stay the same","Will decrease slightly"
